artist,title,track_n,line,lyric,track_title
Beyonce,Dangerously in Love,3,11,I think about you all the time,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,12,I see you in my dreams (See you in my dreams; yuh done know di love is real),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,13,"Baby boy, not a day goes by",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,14,"Without my fantasies (Come on, girl, tell me what's the deal)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,15,I think about you all the time,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,16,I see you in my dreams (See you in my dreams; yuh done know di love is real),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,17,"Ahh, oh, my baby's fly, baby, oh (Yeah, yeah)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,18,"Yes, no, hurt me so good, baby, oh (This hot)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,19,"I'm so wrapped up in your love, let me go (Uh, yo)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,20,"Let me breathe, stay out my fantasies (Yo, yo, yo, yo, alright)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,21,"Well woman a ready fi gimme di ting, deh ready fi really get it live",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,22,Tellin' mi all about di tings weh you ah fantasize,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,23,"I know yuh dig di way mi step, di way mi mek mi stride",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,24,"Follow yuh feelings, baby girl, because they cannot be denied",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,25,Come get mi inna di night and mek wi get it damplified,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,26,"I nuh quick fi run di ship, mi nah go slip, mi nah go slide",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,27,In odda words yuh love I got to get well certified,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,28,"Fi give yuh di tuffest longest type of ride, girl",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,29,"Baby boy, you stay on my mind",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,30,"Fulfill my fantasies (Fulfill my fantasies, come on, girl, tell me how you feel)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,31,I think about you all the time (Oh),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,32,I see you in my dreams (See you in my dreams; yuh done know di love is real),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,33,"Baby boy, not a day goes by",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,34,"Without my fantasies (By, by, by, by, come on, girl, tell me what's the deal)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,35,I think about you all the time,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,36,"I see you in my dreams (See you in my dreams; oh, yuh done know di love is real)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,37,Picture us dancin' real close,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,38,"In a dark, dark corner of a basement party (Oh, na, na, na)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,39,Every time I close my eyes,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,40,"It's like everyone left, but you and me (Oh, na, na, na)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,41,"In our own little world, the music is the sun",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,42,"The dancefloor becomes the sea (A wi done, girl)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,43,"Feels like true paradise to me, yeah (Introverted, oh, na, na, na)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,44,"Baby boy, you stay on my mind",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,45,"Fulfill my fantasies (Come on, girl, tell me how you feel)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,46,I think about you all the time,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,47,I see you in my dreams (See you in my dreams; yuh done know di love is real),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,48,"Baby boy, not a day goes by",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,49,"Without my fantasies (By, by, by, by, come on, girl, tell me what's the deal)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,50,I think about you all the time (Oh),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,51,I see you in my dreams (See you in my dreams; yuh done know di love is real),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,52,"Baby boy, you stay on my mind (Yo, yo, B)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,53,"Baby boy, you are so damn fine (Yeah, yeah, girl)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,54,"Baby boy, won't you be mine? (Yo, yo, B)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,55,"Baby boy, let's conceive an angel",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,56,"Baby boy, you stay on my mind (Yo, yo, B, oh)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,57,"Baby boy, you are so damn fine (Yeah, yeah, girl, oh)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,58,"Baby boy, won't you be mine? (Yo, yo, B, oh)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,59,"Baby boy, let's conceive an angel",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,60,"Di world is a drop top, girl",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,61,"Mi and yuh together is a wrap, dat, girl",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,62,"Drive 'round di town inna yuh drop top, girl, yuh nuh stop shop, girl",Baby Boy (Ft. Sean Paul)
